v8-version,6,2,414,66,0
code-creation,Stub,3,3603,0x1a7d5edaf260,2109,"RecordWriteStub"
code-creation,Stub,3,3603,0x1a7d5edafb00,2072,"RecordWriteStub"
code-creation,Stub,3,3604,0x1a7d5edb0380,2130,"RecordWriteStub"
code-creation,Stub,3,3605,0x1a7d5edb0c40,2125,"RecordWriteStub"
code-creation,Handler,4,3605,0x1a7d5edb1500,552,"An IC handler from the snapshot"
code-creation,Stub,3,3606,0x1a7d5edb17a0,2088,"RecordWriteStub"
code-creation,Stub,3,3607,0x1a7d5edb2040,2129,"RecordWriteStub"
code-creation,Stub,3,3608,0x1a7d5edb2900,1225,"RecordWriteStub"
code-creation,Stub,3,3608,0x1a7d5edb2e40,269,"CEntryStub"
code-creation,Stub,3,3609,0x1a7d5edb2fc0,2100,"RecordWriteStub"
code-creation,Stub,3,3610,0x1a7d5edb3860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3611,0x1a7d5edb39a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3612,0x1a7d5edb3b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,3612,0x1a7d5edb3e60,2091,"RecordWriteStub"
code-creation,Stub,3,3613,0x1a7d5edb4700,2130,"RecordWriteStub"
code-creation,Handler,4,3614,0x1a7d5edb4fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,3615,0x1a7d5edb50c0,2076,"RecordWriteStub"
code-creation,Stub,3,3615,0x1a7d5edb5940,884,"RecordWriteStub"
code-creation,Stub,3,3616,0x1a7d5edb5d20,331,"CallApiGetterStub"
code-creation,Stub,3,3617,0x1a7d5edb5ee0,261,"MathPowStub"
code-creation,Stub,3,3618,0x1a7d5edb6060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3618,0x1a7d5edb6200,2091,"RecordWriteStub"
code-creation,Stub,3,3619,0x1a7d5edb6aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3620,0x1a7d5edb6be0,2134,"RecordWriteStub"
code-creation,Stub,3,3621,0x1a7d5edb74a0,2126,"RecordWriteStub"
code-creation,Stub,3,3621,0x1a7d5edb7d60,1207,"RecordWriteStub"
code-creation,Stub,3,3622,0x1a7d5edb8280,2079,"RecordWriteStub"
code-creation,Stub,3,3623,0x1a7d5edb8b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3623,0x1a7d5edb8d00,2099,"RecordWriteStub"
code-creation,Stub,3,3624,0x1a7d5edb95a0,2160,"RecordWriteStub"
code-creation,Stub,3,3625,0x1a7d5edb9e80,2088,"RecordWriteStub"
code-creation,Stub,3,3626,0x1a7d5edba720,89,"DoubleToIStub"
code-creation,Stub,3,3626,0x1a7d5edba7e0,2118,"RecordWriteStub"
code-creation,Stub,3,3627,0x1a7d5edbb0a0,2104,"RecordWriteStub"
code-creation,Handler,4,3628,0x1a7d5edbb940,132,"An IC handler from the snapshot"
code-creation,Stub,3,3629,0x1a7d5edbba40,87,"DoubleToIStub"
code-creation,Stub,3,3629,0x1a7d5edbbb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3630,0x1a7d5edbbcc0,2100,"RecordWriteStub"
code-creation,Handler,4,3631,0x1a7d5edbc560,612,"An IC handler from the snapshot"
code-creation,Stub,3,3632,0x1a7d5edbc840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3633,0x1a7d5edbc9e0,2118,"RecordWriteStub"
code-creation,Stub,3,3633,0x1a7d5edbd2a0,2091,"RecordWriteStub"
code-creation,Stub,3,3634,0x1a7d5edbdb40,2087,"RecordWriteStub"
code-creation,Stub,3,3635,0x1a7d5edbe3e0,2145,"RecordWriteStub"
code-creation,Stub,3,3635,0x1a7d5edbecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,3636,0x1a7d5edbef60,884,"RecordWriteStub"
code-creation,Stub,3,3637,0x1a7d5edbf340,2088,"RecordWriteStub"
code-creation,Stub,3,3637,0x1a7d5edbfbe0,2087,"RecordWriteStub"
code-creation,Stub,3,3653,0x1a7d5edc0480,2088,"RecordWriteStub"
code-creation,Stub,3,3654,0x1a7d5edc0d20,308,"CEntryStub"
code-creation,Stub,3,3654,0x1a7d5edc0ec0,2130,"RecordWriteStub"
code-creation,Stub,3,3655,0x1a7d5edc1780,2130,"RecordWriteStub"
code-creation,Stub,3,3656,0x1a7d5edc2040,2148,"RecordWriteStub"
code-creation,Stub,3,3657,0x1a7d5edc2920,2118,"RecordWriteStub"
code-creation,Stub,3,3658,0x1a7d5edc31e0,2075,"RecordWriteStub"
code-creation,Stub,3,3658,0x1a7d5edc3a60,1246,"RecordWriteStub"
code-creation,Handler,4,3659,0x1a7d5edc3fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,3660,0x1a7d5edc4260,2126,"RecordWriteStub"
code-creation,Stub,3,3661,0x1a7d5edc4b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3662,0x1a7d5edc4c60,2063,"RecordWriteStub"
code-creation,Stub,3,3663,0x1a7d5edc54e0,2100,"RecordWriteStub"
code-creation,Stub,3,3663,0x1a7d5edc5d80,2103,"RecordWriteStub"
code-creation,Handler,4,3664,0x1a7d5edc6620,552,"An IC handler from the snapshot"
code-creation,Stub,3,3665,0x1a7d5edc68c0,896,"RecordWriteStub"
code-creation,Stub,3,3666,0x1a7d5edc6ca0,2100,"RecordWriteStub"
code-creation,Stub,3,3666,0x1a7d5edc7540,2104,"RecordWriteStub"
code-creation,Stub,3,3667,0x1a7d5edc7de0,1246,"RecordWriteStub"
code-creation,Stub,3,3668,0x1a7d5edc8320,2100,"RecordWriteStub"
code-creation,Stub,3,3668,0x1a7d5edc8bc0,2072,"RecordWriteStub"
code-creation,Stub,3,3669,0x1a7d5edc9440,2099,"RecordWriteStub"
code-creation,Stub,3,3670,0x1a7d5edc9ce0,2134,"RecordWriteStub"
code-creation,Stub,3,3670,0x1a7d5edca5a0,2104,"RecordWriteStub"
code-creation,Stub,3,3671,0x1a7d5edcae40,2100,"RecordWriteStub"
code-creation,Stub,3,3672,0x1a7d5edcb6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,3673,0x1a7d5edcb8a0,25,"Abort"
code-creation,Stub,3,3673,0x1a7d5edcb920,2114,"RecordWriteStub"
code-creation,Builtin,5,3674,0x1a7d5edcc1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,3675,0x1a7d5edcc260,28,"ReturnReceiver"
code-creation,Builtin,5,3678,0x1a7d5edcc2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,3681,0x1a7d5edcc500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,3682,0x1a7d5edcc660,223,"CreateIterResultObject"
code-creation,Builtin,5,3682,0x1a7d5edcc7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,3683,0x1a7d5edcc9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,3684,0x1a7d5edccc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,3685,0x1a7d5edcd2a0,76,"ToBoolean"
code-creation,Builtin,5,3686,0x1a7d5edcd360,3876,"ResolveNativePromise"
code-creation,Builtin,5,3686,0x1a7d5edce300,284,"StringEqual"
code-creation,Builtin,5,3687,0x1a7d5edce480,5132,"PerformNativePromiseThen"
code-creation,Builtin,5,3688,0x1a7d5edcf900,668,"RejectNativePromise"
code-creation,Builtin,5,3689,0x1a7d5edcfc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,3689,0x1a7d5edd0460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,3690,0x1a7d5edd0b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,3691,0x1a7d5edd0f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,3692,0x1a7d5edd1120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,3693,0x1a7d5edd12c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,3693,0x1a7d5edd13a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,3694,0x1a7d5edd1880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,3695,0x1a7d5edd1c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,3696,0x1a7d5edd2080,15,"Illegal"
code-creation,Builtin,5,3697,0x1a7d5edd2100,15,"ObjectAssign"
code-creation,Builtin,5,3699,0x1a7d5edd2180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,3700,0x1a7d5edd2200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,3701,0x1a7d5edd2280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,3701,0x1a7d5edd2300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,3704,0x1a7d5edd2380,15,"ObjectIs"
code-creation,Builtin,5,3705,0x1a7d5edd2400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,3706,0x1a7d5edd2480,15,"ObjectSeal"
code-creation,Builtin,5,3721,0x1a7d5edd2500,848,"ObjectCreate"
code-creation,Builtin,5,3722,0x1a7d5edd28c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,3723,0x1a7d5edd2940,15,"ObjectDefineProperty"
code-creation,Builtin,5,3724,0x1a7d5edd29c0,15,"ObjectFreeze"
code-creation,Builtin,5,3724,0x1a7d5edd2a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,3725,0x1a7d5edd2ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,3726,0x1a7d5edd2b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,3726,0x1a7d5edd2bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,3727,0x1a7d5edd2c40,15,"ObjectIsSealed"
code-creation,Builtin,5,3728,0x1a7d5edd2cc0,540,"ObjectKeys"
code-creation,Builtin,5,3728,0x1a7d5edd2f40,15,"ObjectEntries"
code-creation,Builtin,5,3729,0x1a7d5edd2fc0,15,"ObjectValues"
code-creation,Builtin,5,3730,0x1a7d5edd3040,15,"ObjectDefineGetter"
code-creation,Builtin,5,3730,0x1a7d5edd30c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,3731,0x1a7d5edd3140,1935,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,3732,0x1a7d5edd3940,15,"ObjectLookupGetter"
code-creation,Builtin,5,3733,0x1a7d5edd39c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,3733,0x1a7d5edd3a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,3734,0x1a7d5edd3b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,3735,0x1a7d5edd3c00,1188,"ObjectPrototypeToString"
code-creation,Builtin,5,3736,0x1a7d5edd4120,132,"ClassOf"
code-creation,Builtin,5,3736,0x1a7d5edd4220,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,3737,0x1a7d5edd42c0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,3738,0x1a7d5edd4340,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,3739,0x1a7d5edd43c0,15,"FunctionConstructor"
code-creation,Builtin,5,3740,0x1a7d5edd4440,64,"FunctionPrototypeApply"
code-creation,Builtin,5,3740,0x1a7d5edd44e0,1240,"CallWithArrayLike"
code-creation,Builtin,5,3741,0x1a7d5edd4a20,81,"CallVarargs"
code-creation,Builtin,5,3742,0x1a7d5edd4ae0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,3742,0x1a7d5edd4ea0,15,"FunctionPrototypeBind"
code-creation,Builtin,5,3743,0x1a7d5edd4f20,47,"FunctionPrototypeCall"
code-creation,Builtin,5,3744,0x1a7d5edd4fc0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,3745,0x1a7d5edd5040,227,"FunctionPrototypeHasInstance"
